or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index
37.487837+-121.926069,2838.0,4394.0,47.3,73.23333333333333,Fremont,Warm Springs Condo available in June,2349.0,2.0,4516550294.0,2014-06-11,http://sfbay.craigslist.org/sby/apa/4516550294.html,900.0,http://sfbay.craigslist.org/apa/,-121.926069,37.487837,2.61,sfbay,16
37.306369+-121.965902,3512.0,6241.0,58.53333333333333,104.01666666666667,san jose west,Elegant Newly Remodeled 3/2 Duplex for Rent $2950,2950.0,3.0,4519042144.0,2014-06-13,http://sfbay.craigslist.org/sby/apa/4519042144.html,NA,http://sfbay.craigslist.org/apa/index2000.html,-121.965902,37.306369,NA,sfbay,17
37.704357+-121.911587,2395.0,3702.0,39.916666666666664,61.7,dublin / pleasanton / livermore,"Amazing Views, Close to 580/680 and BART",2195.0,1.0,4523918836.0,2014-06-19,http://sfbay.craigslist.org/eby/apa/4523918836.html,783.0,http://sfbay.craigslist.org/apa/index2800.html,-121.911587,37.704357,2.8033205619412516,sfbay,18
37.704357+-121.911587,2395.0,3702.0,39.916666666666664,61.7,dublin / pleasanton / livermore,Luxury meets comfort,2195.0,1.0,4537496429.0,2014-06-24,http://sfbay.craigslist.org/eby/apa/4537496429.html,638.0,http://sfbay.craigslist.org/apa/index300.html,-121.911587,37.704357,3.4404388714733543,sfbay,592
37.790726+-122.408902,483.0,1024.0,8.05,17.066666666666666,lower nob hill,STUDIO AVAILABLE STEPS FROM UNION SQUARE! PET FRIENDLY!,2295.0,NA,4462879032.0,2014-05-13,http://sfbay.craigslist.org/sfc/apa/4462879032.html,NA,http://sfbay.craigslist.org/apa/index800.html,-122.408902,37.790726,NA,sfbay,19
37.399846+-122.07144,2769.0,4383.0,46.15,73.05,mountain view,"Conviently located Mountain View 1bd, 1ba",2200.0,1.0,4507847133.0,2014-06-30,http://sfbay.craigslist.org/sby/apa/4507847133.html,564.0,http://sfbay.craigslist.org/apa/index2200.html,-122.07144,37.399846,3.900709219858156,sfbay,20
37.964474+-122.297865,1912.0,3544.0,31.866666666666667,59.06666666666667,"hercules, pinole, san pablo, el sob",2 BEDROOM APARTMENT-NEWLY DECORATED,1050.0,2.0,4522784957.0,2014-07-03,http://sfbay.craigslist.org/eby/apa/4522784957.html,750.0,http://sfbay.craigslist.org/apa/index2700.html,-122.297865,37.964474,1.4,sfbay,21
37.996222+-122.30268,1853.0,3284.0,30.883333333333333,54.733333333333334,"hercules, pinole, san pablo, el sob",2½ bath -- Duplex in Pinole,1800.0,3.0,4558721484.0,2014-07-08,http://sfbay.craigslist.org/eby/apa/4558721484.html,1297.0,http://sfbay.craigslist.org/apa/index2800.html,-122.30268,37.996222,1.3878180416345411,sfbay,22
37.967461+-122.043085,2137.0,3414.0,35.61666666666667,56.9,concord / pleasant hill / martinez,2 Bed/ 1 Bath townhouse available July,1345.0,2.0,4548512154.0,2014-07-01,http://sfbay.craigslist.org/eby/apa/4548512154.html,960.0,http://sfbay.craigslist.org/apa/index1400.html,-122.043085,37.967461,1.4010416666666667,sfbay,23
38.014645+-121.944441,2511.0,3808.0,41.85,63.46666666666667,pittsburg / antioch,Beautifully remodeled one bedroom apartment home!,1435.0,1.0,4509425382.0,2014-06-07,http://sfbay.craigslist.org/eby/apa/4509425382.html,705.0,http://sfbay.craigslist.org/apa/index900.html,-121.944441,38.014645,2.0354609929078014,sfbay,24
37.29565+-121.910842,3637.0,5693.0,60.61666666666667,94.88333333333334,willow glen / cambrian,Don't Miss Out! Great Location Great Deal!,2550.0,3.0,4462055855.0,2014-05-27,http://sfbay.craigslist.org/sby/apa/4462055855.html,1300.0,http://sfbay.craigslist.org/apa/index3200.html,-121.910842,37.29565,1.9615384615384615,sfbay,25
37.23387+-121.765542,3853.0,5909.0,64.21666666666667,98.48333333333333,san jose south,Fully equipped kitchen with breakfast bar!,1877.0,1.0,4512382259.0,2014-06-09,http://sfbay.craigslist.org/sby/apa/4512382259.html,720.0,http://sfbay.craigslist.org/apa/index1500.html,-121.765542,37.23387,2.6069444444444443,sfbay,26
37.23387+-121.765542,3853.0,5909.0,64.21666666666667,98.48333333333333,san jose south,Fully equipped kitchen with breakfast bar!,1935.0,1.0,4531755828.0,2014-06-21,http://sfbay.craigslist.org/sby/apa/4531755828.html,720.0,http://sfbay.craigslist.org/apa/index1900.html,-121.765542,37.23387,2.6875,sfbay,748
36.971453+-122.009761,5502.0,8333.0,91.7,138.88333333333333,santa cruz,Newer 5BR/3BA -Near UCSC-Santa Cruz/Seabright-4 Blks to Beach-Huge Rms,4295.0,5.0,4477007752.0,2014-05-20,http://sfbay.craigslist.org/scz/apa/4477007752.html,2300.0,http://sfbay.craigslist.org/apa/index200.html,-122.009761,36.971453,1.867391304347826,sfbay,27
