or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index
37.346027+-121.896488,3217.0,4692.0,53.61666666666667,78.2,san jose downtown,Lovely 1 Bedroom Apartment,1850.0,1.0,4537797656.0,2014-06-25,http://sfbay.craigslist.org/sby/apa/4537797656.html,500.0,http://sfbay.craigslist.org/apa/index3300.html,-121.896488,37.346027,3.7,sfbay,4001
37.301842+-121.999369,3390.0,4913.0,56.5,81.88333333333334,cupertino,Cupertino Townhouse for Rent,3700.0,3.0,4560961201.0,2014-07-09,http://sfbay.craigslist.org/sby/apa/4560961201.html,1400.0,http://sfbay.craigslist.org/apa/index1400.html,-121.999369,37.301842,2.642857142857143,sfbay,4002
37.326489+-121.897388,3245.0,4777.0,54.083333333333336,79.61666666666666,san jose downtown,Large Renovated Loft Apartment Available Now! Walk to Downtown!,2295.0,1.0,4561026859.0,2014-07-09,http://sfbay.craigslist.org/sby/apa/4561026859.html,994.0,http://sfbay.craigslist.org/apa/index1300.html,-121.897388,37.326489,2.308853118712274,sfbay,4003
37.326489+-121.897388,3245.0,4777.0,54.083333333333336,79.61666666666666,san jose downtown,Large West Facing 3rd Floor Loft Apartment Coming Avail. June 7th!,2425.0,1.0,4495905113.0,2014-05-30,http://sfbay.craigslist.org/sby/apa/4495905113.html,994.0,http://sfbay.craigslist.org/apa/index2700.html,-121.897388,37.326489,2.4396378269617705,sfbay,4767
37.6247+-122.429,1528.0,2657.0,25.466666666666665,44.28333333333333,san bruno,"GE Appliances, Kitchen Pantry, Spacious Closets",2223.0,1.0,4543661171.0,2014-06-28,http://sfbay.craigslist.org/pen/apa/4543661171.html,NA,http://sfbay.craigslist.org/apa/index1300.html,-122.429,37.6247,NA,sfbay,4004
37.6247+-122.429,1528.0,2657.0,25.466666666666665,44.28333333333333,san bruno,Minutes from Sharp Park State Beach! Hiking & Bike Trails,2539.0,2.0,4565539925.0,2014-07-12,http://sfbay.craigslist.org/pen/apa/4565539925.html,NA,http://sfbay.craigslist.org/apa/index1900.html,-122.429,37.6247,NA,sfbay,4307
37.6247+-122.429,1528.0,2657.0,25.466666666666665,44.28333333333333,san bruno,5 minutes from Milagra Ridge County Park,2853.0,1.0,4494612447.0,2014-05-29,http://sfbay.craigslist.org/pen/apa/4494612447.html,NA,http://sfbay.craigslist.org/apa/index1500.html,-122.429,37.6247,NA,sfbay,4645
37.340441+-121.863965,3415.0,4816.0,56.916666666666664,80.26666666666667,san jose downtown,"Brand New 4 bedroom 2.5bath Luxury Townhouse downtown SJ near SJSU, hu",3950.0,4.0,4513827243.0,2014-06-17,http://sfbay.craigslist.org/sby/apa/4513827243.html,1659.0,http://sfbay.craigslist.org/apa/,-121.863965,37.340441,2.380952380952381,sfbay,4005
37.403403+-122.096322,2663.0,4105.0,44.38333333333333,68.41666666666667,mountain view,Comfort meets Convenience w/in home W+D! Call today!,2563.0,1.0,4519469457.0,2014-06-13,http://sfbay.craigslist.org/sby/apa/4519469457.html,653.0,http://sfbay.craigslist.org/apa/index800.html,-122.096322,37.403403,3.9249617151607965,sfbay,4006
37.786742+-122.390571,397.0,974.0,6.616666666666666,16.233333333333334,SOMA / south beach,Showing THURSDAY 6-7pm~!~This place is HOME!  Penthouse @ Bridgeview!,5500.0,2.0,4482761871.0,2014-05-28,http://sfbay.craigslist.org/sfc/apa/4482761871.html,NA,http://sfbay.craigslist.org/apa/index3300.html,-122.390571,37.786742,NA,sfbay,4007
