or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index,price,commute
37.778852+-122.39275,549.0,1314.0,9.15,21,SOMA / south beach,FULLY FURNISHED Loft- Short Term OK - Pkg Incl,4750.0,1.0,4495195028.0,2014-05-29,http://sfbay.craigslist.org/sfc/apa/4495195028.html,1250.0,http://sfbay.craigslist.org/apa/index200.html,-122.39275,37.778852,3.8,sfbay,30,4750,15
37.9488+-122.050252,1978.0,3357.0,32.96666666666667,55,concord / pleasant hill / martinez,"1.5ba, Townhouse Apt, Pool, Clubhouse, WALK to Everything!",1350.0,2.0,4436413168.0,2014-05-21,http://sfbay.craigslist.org/eby/apa/4436413168.html,900.0,http://sfbay.craigslist.org/apa/index3200.html,-122.050252,37.9488,1.5,sfbay,32,1350,43
37.636965+-122.462848,1671.0,3217.0,27.85,53,san bruno,"Enjoy clean,crisp living at the hilltop!",1895.0,1.0,4557136888.0,2014-07-07,http://sfbay.craigslist.org/pen/apa/4557136888.html,690.0,http://sfbay.craigslist.org/apa/index2200.html,-122.462848,37.636964999999996,2.746376811594203,sfbay,33,1895,40
37.3764+-122.0238,3031.0,4961.0,50.516666666666666,82,sunnyvale,"Amazing Community, Affordable Rate, Visit us Today for Tour!!",2315.0,2.0,4470217047.0,2014-05-14,http://sfbay.craigslist.org/sby/apa/4470217047.html,920.0,http://sfbay.craigslist.org/apa/index1900.html,-122.0238,37.3764,2.516304347826087,sfbay,34,2315,66
37.3764+-122.0238,3031.0,4961.0,50.516666666666666,82,sunnyvale,1BR with Lake View in Sunnyvale!,2223.0,1.0,4553861320.0,2014-07-05,http://sfbay.craigslist.org/sby/apa/4553861320.html,800.0,http://sfbay.craigslist.org/apa/index2100.html,-122.0238,37.3764,2.77875,sfbay,120,2223,66
37.3764+-122.0238,3031.0,4961.0,50.516666666666666,82,sunnyvale,"Reno'd 13', 2x1 Cottage #18, Gas stove, yard, wood flrs! Move ASAP!",2803.0,2.0,4479663941.0,2014-05-20,http://sfbay.craigslist.org/sby/apa/4479663941.html,915.0,http://sfbay.craigslist.org/apa/index2300.html,-122.0238,37.3764,3.0633879781420763,sfbay,433,2803,66
37.708034+-122.14132,1936.0,3265.0,32.266666666666666,54,san leandro,"Great floor plan, nice community, come checkus out!",1785.0,2.0,4519014573.0,2014-06-13,http://sfbay.craigslist.org/eby/apa/4519014573.html,885.0,http://sfbay.craigslist.org/apa/index2000.html,-122.14132,37.70803400000001,2.016949152542373,sfbay,35,1785,43
37.9053+-122.0549,1993.0,3366.0,33.21666666666667,56,walnut creek,Newly Renovated 1 BD! Available NOW! CAll today!,1485.0,1.0,4483683922.0,2014-05-22,http://sfbay.craigslist.org/eby/apa/4483683922.html,600.0,http://sfbay.craigslist.org/apa/index400.html,-122.0549,37.9053,2.475,sfbay,36,1485,44
38.369833+-121.980906,3601.0,5387.0,60.016666666666666,89,fairfield / vacaville,"Great Home 124 San Carlos Court, Vavaville, CA",1150.0,2.0,4542517531.0,2014-06-30,http://sfbay.craigslist.org/eby/apa/4542517531.html,824.0,http://sfbay.craigslist.org/apa/index3400.html,-121.980906,38.369833,1.395631067961165,sfbay,37,1150,74
38.0685+-122.1614,2559.0,3995.0,42.65,66,vallejo / benicia,Benicia Highlands Condo,1600.0,2.0,4509128549.0,2014-06-07,http://sfbay.craigslist.org/eby/apa/4509128549.html,1087.0,http://sfbay.craigslist.org/apa/index1600.html,-122.1614,38.0685,1.4719411223551058,sfbay,418,1600,54
37.3855+-122.088,2934.0,4877.0,48.9,81,mountain view,Charming Mtn View Location*A must see*pets welcome!!,2696.0,2.0,4512040042.0,2014-06-23,http://sfbay.craigslist.org/pen/apa/4512040042.html,1100.0,http://sfbay.craigslist.org/apa/index2100.html,-122.088,37.3855,2.4509090909090907,sfbay,40,2696,64
37.3855+-122.088,2934.0,4877.0,48.9,81,mountain view,"Move in on June, close to google, facebook, shopping, dining...",1995.0,1.0,4446138393.0,2014-05-13,http://sfbay.craigslist.org/pen/apa/4446138393.html,776.0,http://sfbay.craigslist.org/apa/index1900.html,-122.088,37.3855,2.570876288659794,sfbay,431,1995,64
37.761903+-121.950365,2471.0,3808.0,41.18333333333333,63,danville / san ramon,Condo for rent in San Ramon,2150.0,2.0,4472979360.0,2014-05-16,http://sfbay.craigslist.org/eby/apa/4472979360.html,943.0,http://sfbay.craigslist.org/apa/index3800.html,-121.950365,37.761903,2.2799575821845175,sfbay,41,2150,52
37.769086+-122.425804,969.0,2100.0,16.15,35,Quad / Dolores Market,2BR/1Bth - Utilities Included - Avail Aug 1 - Clean Quiet Spacious,4200.0,2.0,4561205546.0,2014-07-09,http://sfbay.craigslist.org/sfc/apa/4561205546.html,1e3,http://sfbay.craigslist.org/apa/index800.html,-122.425804,37.769086,4.2,sfbay,43,4200,25
37.93613+-121.702957,3400.0,4998.0,56.666666666666664,83,brentwood / oakley,CALL NOW & GET $500 OFF YOUR 1st MONTHS RENT!!!,1575.0,2.0,4553865616.0,2014-07-05,http://sfbay.craigslist.org/eby/apa/4553865616.html,950.0,http://sfbay.craigslist.org/apa/index1900.html,-121.702957,37.93613,1.6578947368421053,sfbay,44,1575,69
37.93613+-121.702957,3400.0,4998.0,56.666666666666664,83,brentwood / oakley,Convenient Location! Newly Renovated Floorplans!,1750.0,3.0,4478630664.0,2014-05-19,http://sfbay.craigslist.org/eby/apa/4478630664.html,1110.0,http://sfbay.craigslist.org/apa/index600.html,-121.702957,37.93613,1.5765765765765767,sfbay,140,1750,69
37.545666+-122.292337,2096.0,3395.0,34.93333333333333,56,san mateo,Private Kitchen Island!,4428.0,2.0,4529133015.0,2014-06-19,http://sfbay.craigslist.org/pen/apa/4529133015.html,1177.0,http://sfbay.craigslist.org/apa/index700.html,-122.29233700000002,37.545666,3.762107051826678,sfbay,45,4428,45
37.3924+-121.9623,3169.0,5039.0,52.81666666666667,83,santa clara,Beautiful Single Family home in Rivermark for Rent,3700.0,3.0,4515760515.0,2014-06-11,http://sfbay.craigslist.org/sby/apa/4515760515.html,1600.0,http://sfbay.craigslist.org/apa/index1900.html,-121.9623,37.3924,2.3125,sfbay,46,3700,67
37.3924+-121.9623,3169.0,5039.0,52.81666666666667,83,santa clara,Beautiful Single Family home in Rivermark for Rent,3700.0,3.0,4501605465.0,2014-06-07,http://sfbay.craigslist.org/sby/apa/4501605465.html,1600.0,http://sfbay.craigslist.org/apa/index2600.html,-121.9623,37.3924,2.3125,sfbay,559,3700,67
37.3924+-121.9623,3169.0,5039.0,52.81666666666667,83,santa clara,"1BR/1BA w/ Attached Garage, Stainless Appliances, & Granite Counters.",2671.0,1.0,4527106797.0,2014-06-18,http://sfbay.craigslist.org/sby/apa/4527106797.html,835.0,http://sfbay.craigslist.org/apa/index1500.html,-121.9623,37.3924,3.1988023952095808,sfbay,908,2671,67
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72,danville / san ramon,"""!!Don't Compromise On the Quality!!""",2514.0,2.0,4552077158.0,2014-07-03,http://sfbay.craigslist.org/eby/apa/4552077158.html,900.0,http://sfbay.craigslist.org/apa/index400.html,-121.9155,37.7636,2.7933333333333334,sfbay,104,2514,59
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72,danville / san ramon,3RD FLOOR/DETACH GARAGE READY TO MOVE IN NOW!!,2204.0,2.0,4491477051.0,2014-05-27,http://sfbay.craigslist.org/eby/apa/4491477051.html,1088.0,http://sfbay.craigslist.org/apa/index500.html,-121.9155,37.7636,2.025735294117647,sfbay,198,2204,59
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72,danville / san ramon,"Apt for Rent in San Ramon, Move in immediately",1250.0,1.0,4550562259.0,2014-07-02,http://sfbay.craigslist.org/eby/apa/4550562259.html,600.0,http://sfbay.craigslist.org/apa/index400.html,-121.9155,37.7636,2.0833333333333335,sfbay,324,1250,59
37.7636+-121.9155,2803.0,4350.0,46.71666666666667,72,danville / san ramon,New and ready for move in,2125.0,2.0,4497558271.0,2014-05-31,http://sfbay.craigslist.org/eby/apa/4497558271.html,1102.0,http://sfbay.craigslist.org/apa/index1200.html,-121.9155,37.7636,1.928312159709619,sfbay,387,2125,59
