or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index
37.533654+-122.299461,2184.0,3597.0,36.4,59.95,san mateo,Large 1BR / Great Location Now Available!,2146.0,1.0,4472157411.0,2014-05-15,http://sfbay.craigslist.org/pen/apa/4472157411.html,652.0,http://sfbay.craigslist.org/apa/index1300.html,-122.299461,37.533654,3.291411042944785,sfbay,1001
37.544254+-122.285185,2106.0,3457.0,35.1,57.61666666666667,san mateo,Modern & stylish 1 bedroom apartment!,2353.0,1.0,4483159083.0,2014-05-22,http://sfbay.craigslist.org/pen/apa/4483159083.html,680.0,http://sfbay.craigslist.org/apa/index2100.html,-122.285185,37.544254,3.460294117647059,sfbay,1002
37.544254+-122.285185,2106.0,3457.0,35.1,57.61666666666667,san mateo,"Live the life you desire, live in luxury at CitySouth!",3313.0,2.0,4516157451.0,2014-06-11,http://sfbay.craigslist.org/pen/apa/4516157451.html,1029.0,http://sfbay.craigslist.org/apa/index800.html,-122.285185,37.544254,3.2196307094266277,sfbay,1252
37.70553+-122.120075,2176.0,4132.0,36.266666666666666,68.86666666666666,san leandro,Spacious 1 Bedrm approx. 600 Sqfts Fourplex,975.0,1.0,4516550592.0,2014-06-11,http://sfbay.craigslist.org/eby/apa/4516550592.html,600.0,http://sfbay.craigslist.org/apa/,-122.120075,37.70553,1.625,sfbay,1003
38.001157+-122.271456,2792.0,4816.0,46.53333333333333,80.26666666666667,"hercules, pinole, san pablo, el sob","HERCULES, CA",2700.0,4.0,4512490928.0,2014-06-16,http://sfbay.craigslist.org/eby/apa/4512490928.html,2044.0,http://sfbay.craigslist.org/apa/index1100.html,-122.271456,38.001157,1.3209393346379648,sfbay,1004
37.277417+-121.952354,3935.0,5784.0,65.58333333333333,96.4,campbell,Special Floor Plan! Renovated 1BD/1BA! Visit Campbell Plaza!!,1770.0,1.0,4518772488.0,2014-06-13,http://sfbay.craigslist.org/sby/apa/4518772488.html,550.0,http://sfbay.craigslist.org/apa/index2600.html,-121.952354,37.277417,3.2181818181818183,sfbay,1005
37.749226+-122.442607,1591.0,2993.0,26.516666666666666,49.88333333333333,noe valley,Showing this week!  LOVELY 1 Bedroom + Parking!,2550.0,1.0,4470405423.0,2014-05-14,http://sfbay.craigslist.org/sfc/apa/4470405423.html,NA,http://sfbay.craigslist.org/apa/index1500.html,-122.442607,37.749226,NA,sfbay,1006
37.993285+-122.52927,2167.0,3892.0,36.11666666666667,64.86666666666666,san rafael,TOP FLOOR 2BR/2.5BA RESIDENCE WITH A LARGE LIVING ROOM AND A WET BAR,5370.0,2.0,4536732703.0,2014-06-24,http://sfbay.craigslist.org/nby/apa/4536732703.html,2032.0,http://sfbay.craigslist.org/apa/index2200.html,-122.52927,37.993285,2.642716535433071,sfbay,1007
37.782434+-121.938372,3285.0,5847.0,54.75,97.45,danville / san ramon,LUXURY STYLE LIVING @ BEL AIR...,2721.0,2.0,4461339810.0,2014-05-11,http://sfbay.craigslist.org/eby/apa/4461339810.html,1093.0,http://sfbay.craigslist.org/apa/index800.html,-121.938372,37.782434,2.4894784995425434,sfbay,1008
37.496597+-122.222049,2329.0,3635.0,38.81666666666667,60.583333333333336,redwood city,"Gorgeous 1Bd/1Ba w/W/D,Marina Views!Spacious Closets,Must See",3105.0,1.0,4483546451.0,2014-05-22,http://sfbay.craigslist.org/pen/apa/4483546451.html,778.0,http://sfbay.craigslist.org/apa/index1100.html,-122.222049,37.496597,3.9910025706940875,sfbay,1009
37.496597+-122.222049,2329.0,3635.0,38.81666666666667,60.583333333333336,redwood city,"3BD/2BA Townhome!Amaing Water Views,W/D,Fireplace,Tons of Storage",4710.0,3.0,4482006785.0,2014-05-21,http://sfbay.craigslist.org/pen/apa/4482006785.html,1416.0,http://sfbay.craigslist.org/apa/index800.html,-122.222049,37.496597,3.3262711864406778,sfbay,1150
