or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index
37.775507+-121.962662,2927.0,5148.0,48.78333333333333,85.8,danville / san ramon,Beautiful Brand New Development!,3200.0,3.0,4530838679.0,2014-06-20,http://sfbay.craigslist.org/eby/apa/4530838679.html,1104.0,http://sfbay.craigslist.org/apa/index700.html,-121.962662,37.775507,2.898550724637681,sfbay,3001
37.561209+-122.328508,2306.0,4290.0,38.43333333333333,71.5,san mateo,1x1 available for move in End of June*Walk Downtown*Pre-lease today!,1930.0,1.0,4492243175.0,2014-05-28,http://sfbay.craigslist.org/pen/apa/4492243175.html,620.0,http://sfbay.craigslist.org/apa/index3100.html,-122.328508,37.56120900000001,3.1129032258064515,sfbay,3002
38.442985+-122.714775,4029.0,6355.0,67.15,105.91666666666667,santa rosa,Downtown Remodeled Historic 1 bed 1 bath,1300.0,1.0,4538765941.0,2014-06-28,http://sfbay.craigslist.org/nby/apa/4538765941.html,700.0,http://sfbay.craigslist.org/apa/index1900.html,-122.714775,38.442985,1.8571428571428572,sfbay,3003
37.425474+-122.135601,3279.0,5286.0,54.65,88.1,palo alto,"Darling 1 bedroom Apartment, nicely updated, fenced in private patio!",1995.0,1.0,4479955813.0,2014-06-10,http://sfbay.craigslist.org/pen/apa/4479955813.html,NA,http://sfbay.craigslist.org/apa/index1500.html,-122.135601,37.425474,NA,sfbay,3004
37.973382+-122.527085,2080.0,4028.0,34.666666666666664,67.13333333333334,san rafael,"Work, Live, Play! Convenient location for busy lifestyle!",1860.0,NA,4495891182.0,2014-05-30,http://sfbay.craigslist.org/nby/apa/4495891182.html,NA,http://sfbay.craigslist.org/apa/index2800.html,-122.527085,37.973382,NA,sfbay,3005
37.951929+-122.330973,1854.0,3814.0,30.9,63.56666666666667,"hercules, pinole, san pablo, el sob",Great features :: NEW Carpet & Walk-in Closet!,950.0,NA,4513837649.0,2014-06-25,http://sfbay.craigslist.org/eby/apa/4513837649.html,460.0,http://sfbay.craigslist.org/apa/index1800.html,-122.330973,37.951929,2.0652173913043477,sfbay,3006
37.951929+-122.330973,1854.0,3814.0,30.9,63.56666666666667,"hercules, pinole, san pablo, el sob",Great floor plan::Large walk-in closet::Balcony::Elevator in building,950.0,NA,4478212027.0,2014-05-27,http://sfbay.craigslist.org/eby/apa/4478212027.html,460.0,http://sfbay.craigslist.org/apa/index2100.html,-122.330973,37.951929,2.0652173913043477,sfbay,3301
37.951929+-122.330973,1854.0,3814.0,30.9,63.56666666666667,"hercules, pinole, san pablo, el sob",Great features :: NEW Carpet & Walk-in Closet!,950.0,NA,4513837649.0,2014-06-18,http://sfbay.craigslist.org/eby/apa/4513837649.html,460.0,http://sfbay.craigslist.org/apa/index2100.html,-122.330973,37.951929,2.0652173913043477,sfbay,3312
37.235151+-121.77707,4751.0,7873.0,79.18333333333334,131.21666666666667,san jose south,Studio Apartment Ready for Immediate Move In,2550.0,NA,4515780797.0,2014-06-18,http://sfbay.craigslist.org/sby/apa/4515780797.html,400.0,http://sfbay.craigslist.org/apa/index2100.html,-121.77707,37.235151,6.375,sfbay,3007
37.871525+-122.27338,1621.0,3743.0,27.016666666666666,62.38333333333333,berkeley,THE NEW CALIFORNIAN,2450.0,1.0,4446514816.0,2014-05-28,http://sfbay.craigslist.org/eby/apa/4446514816.html,620.0,http://sfbay.craigslist.org/apa/index900.html,-122.27338,37.871525,3.9516129032258065,sfbay,3008
37.871525+-122.27338,1621.0,3743.0,27.016666666666666,62.38333333333333,berkeley,AVAILABLE JUNE 7th- $3135/2Br - THE NEW CALIFORNIAN,3135.0,2.0,4468209600.0,2014-05-28,http://sfbay.craigslist.org/eby/apa/4468209600.html,828.0,http://sfbay.craigslist.org/apa/index900.html,-122.27338,37.871525,3.786231884057971,sfbay,3919
37.803545+-122.403681,518.0,1288.0,8.633333333333333,21.466666666666665,north beach / telegraph hill,"Beautiful TURNKEY, FURNISHED 2BR, 2BA apt. near Levis Plaza",5900.0,2.0,4479035771.0,2014-05-20,http://sfbay.craigslist.org/sfc/apa/4479035771.html,1432.0,http://sfbay.craigslist.org/apa/index3200.html,-122.403681,37.803545,4.120111731843576,sfbay,3009
37.630543+-122.431832,1947.0,3670.0,32.45,61.166666666666664,san bruno,Cozy studio at Penninsula Place Complex,1600.0,NA,4523418912.0,2014-06-16,http://sfbay.craigslist.org/pen/apa/4523418912.html,450.0,http://sfbay.craigslist.org/apa/index1800.html,-122.431832,37.630543,3.5555555555555554,sfbay,3010
37.792224+-122.431134,759.0,1672.0,12.65,27.866666666666667,pacific heights,"Beautiful Building, Hardwood Floors, Garage Parking and Pet Friendly",3400.0,1.0,4523519688.0,2014-06-19,http://sfbay.craigslist.org/sfc/apa/4523519688.html,NA,http://sfbay.craigslist.org/apa/index2500.html,-122.431134,37.792224,NA,sfbay,3011
37.786247+-122.416942,567.0,1374.0,9.45,22.9,lower nob hill,Very Elegant apt with a stunning veiw,3200.0,1.0,4542752207.0,2014-07-09,http://sfbay.craigslist.org/sfc/apa/4542752207.html,500.0,http://sfbay.craigslist.org/apa/index300.html,-122.416942,37.786247,6.4,sfbay,3012
